"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-12-07 20:00","2013","12","07","20:00","-4.3","","-11.8","","56","","24","","23","","24.1","","102.28","","","","-11","","NA"
"2013-12-07 21:00","2013","12","07","21:00","-4.8","","-12.1","","57","","25","","24","","24.1","","102.29","","","","-12","","NA"
"2013-12-07 22:00","2013","12","07","22:00"
"2013-12-07 23:00","2013","12","07","23:00"
"2013-12-08 00:00","2013","12","08","00:00"
"2013-12-08 01:00","2013","12","08","01:00"
"2013-12-08 02:00","2013","12","08","02:00"
"2013-12-08 03:00","2013","12","08","03:00"
"2013-12-08 04:00","2013","12","08","04:00"
"2013-12-08 05:00","2013","12","08","05:00"
"2013-12-08 06:00","2013","12","08","06:00"
"2013-12-08 07:00","2013","12","08","07:00","-7.0","","-9.7","","81","","22","","4","","24.1","","102.28","","","","-9","","Mostly Cloudy"
"2013-12-08 08:00","2013","12","08","08:00","-7.2","","-9.5","","84","","18","","9","","24.1","","102.29","","","","-12","","NA"
"2013-12-08 09:00","2013","12","08","09:00","-6.1","","-8.9","","81","","16","","5","","24.1","","102.25","","","","-9","","NA"
"2013-12-08 10:00","2013","12","08","10:00","-4.6","","-8.6","","74","","16","","9","","24.1","","102.25","","","","-8","","Mostly Cloudy"
"2013-12-08 11:00","2013","12","08","11:00","-2.5","","-9.7","","58","","11","","5","","24.1","","102.27","","","","-4","","NA"
"2013-12-08 12:00","2013","12","08","12:00","-2.5","","-11.8","","49","","11","","6","","24.1","","102.10","","","","-5","","NA"
"2013-12-08 13:00","2013","12","08","13:00","-2.5","","-10.1","","56","","10","","12","","24.1","","102.01","","","","-7","","Cloudy"
"2013-12-08 14:00","2013","12","08","14:00","-2.6","","-9.8","","58","","10","","9","","24.1","","101.97","","","","-6","","NA"
"2013-12-08 15:00","2013","12","08","15:00","-2.5","","-9.5","","59","","8","","13","","24.1","","101.86","","","","-7","","NA"
"2013-12-08 16:00","2013","12","08","16:00","-2.6","","-9.3","","60","","8","","12","","24.1","","101.84","","","","-7","","Cloudy"
"2013-12-08 17:00","2013","12","08","17:00","-2.6","","-9.3","","60","","7","","19","","24.1","","101.71","","","","-8","","NA"
"2013-12-08 18:00","2013","12","08","18:00","-2.7","","-9.7","","59","","8","","18","","24.1","","101.60","","","","-8","","NA"
"2013-12-08 19:00","2013","12","08","19:00","-2.6","","-10.2","","56","","9","","18","","24.1","","101.51","","","","-8","","Cloudy"
"2013-12-08 20:00","2013","12","08","20:00","-2.2","","-10.1","","55","","11","","20","","24.1","","101.42","","","","-8","","NA"
"2013-12-08 21:00","2013","12","08","21:00","-1.8","","-9.2","","57","","11","","19","","24.1","","101.32","","","","-7","","Snow Showers"
"2013-12-08 22:00","2013","12","08","22:00"
"2013-12-08 23:00","2013","12","08","23:00"
"2013-12-09 00:00","2013","12","09","00:00"
"2013-12-09 01:00","2013","12","09","01:00"
"2013-12-09 02:00","2013","12","09","02:00"
"2013-12-09 03:00","2013","12","09","03:00"
"2013-12-09 04:00","2013","12","09","04:00"
"2013-12-09 05:00","2013","12","09","05:00"
"2013-12-09 06:00","2013","12","09","06:00"
"2013-12-09 07:00","2013","12","09","07:00","-0.1","","-0.2","","99","","17","","6","","4.0","","99.91","","","","-2","","Snow"
"2013-12-09 08:00","2013","12","09","08:00","2.9","","2.3","","96","","22","","23","","6.4","","99.86","","","","","","Rain,Fog"
"2013-12-09 09:00","2013","12","09","09:00","3.2","","1.9","","91","","23","","28","","16.1","","99.90","","","","","","NA"
"2013-12-09 10:00","2013","12","09","10:00","3.3","","1.7","","89","","23","","28","","24.1","","99.93","","","","","","Cloudy"
"2013-12-09 11:00","2013","12","09","11:00","3.1","","0.8","","85","","23","","37","","24.1","","99.86","","","","","","NA"
"2013-12-09 12:00","2013","12","09","12:00","2.3","","0.2","","86","","25","","40","","12.9","","99.96","","","","","","Rain"
