,hmdxx_min,hmdxx_max,hmdxx_median-1,hmdxx_max_hour,temp_min,temp_max,dew_point_temp_max,sun_rise,sun_set,visibility_mean,day_of_week,week_of_year,day_type,daily_peak
1995-07-11,17.40362086819034,29.19442934458952,22.318175134410726,13.0,15.6,25.9,16.2,6.0,22.0,20.295833333333334,1.0,28.0,0,17925.0
1995-07-12,15.854082892645627,27.79645934280737,23.07855519204535,14.0,13.8,25.2,15.9,6.0,21.0,30.09166666666667,2.0,28.0,0,18201.0
1995-07-13,22.87071586633736,43.78617510290029,23.676975546890674,15.0,19.6,33.9,23.3,6.0,21.0,14.620833333333339,3.0,28.0,0,20623.0
1995-07-14,27.741353791902856,50.27577489527281,31.638534706800147,16.0,21.1,36.7,26.4,6.0,21.0,19.850000000000005,4.0,28.0,0,21140.0
1995-07-17,26.610367723887663,34.944340638114284,31.115574938079163,11.0,20.0,28.1,21.2,6.0,21.0,19.391666666666666,0.0,29.0,0,19665.0
1995-07-18,22.102954785535665,29.96940099074554,29.82334832508349,15.0,18.5,26.0,18.5,6.0,21.0,26.841666666666665,1.0,29.0,0,18181.0
1995-07-19,19.42450090064527,29.407265101701412,26.268864096362094,15.0,16.0,26.1,16.4,6.0,21.0,28.45,2.0,29.0,0,18266.0
1995-07-20,23.749161922375965,32.765907483395075,24.95412510300743,13.0,20.0,26.0,19.3,6.0,21.0,19.687500000000004,3.0,29.0,0,17752.0
1995-07-21,24.00338876273794,29.70763871282025,27.159473639054927,14.0,19.4,26.8,18.2,6.0,21.0,20.87083333333334,4.0,29.0,0,18492.0
1995-07-24,19.407431334149823,29.454204867902074,28.829739151669408,18.0,15.5,24.0,18.2,6.0,21.0,19.537500000000012,0.0,30.0,0,18469.0
1995-07-25,24.427768671591323,35.81449069706635,25.822798604664005,15.0,19.0,26.4,22.1,6.0,21.0,7.375000000000001,1.0,30.0,0,19151.0
1995-07-26,25.91343988627649,37.802544453544826,31.15737144382221,14.0,21.2,30.8,21.3,6.0,21.0,16.004166666666666,2.0,30.0,0,20326.0
1995-07-27,24.648649065833425,34.744340638114274,31.209702284586555,14.0,19.4,27.9,19.1,6.0,21.0,22.666666666666675,3.0,30.0,0,20017.0
1995-07-28,29.23325676389048,38.24762853122218,29.07842636287616,16.0,21.6,30.0,22.7,7.0,21.0,13.495833333333335,4.0,30.0,0,20363.0
1995-07-31,18.991399544532143,35.89442934458951,26.446244003951715,15.0,15.8,31.8,16.4,7.0,21.0,28.225,0.0,31.0,0,20822.0
1995-08-01,26.03189927397198,40.45351887033092,28.75598689200067,12.0,20.0,34.0,21.2,7.0,21.0,16.900000000000002,1.0,31.0,0,21095.0
1995-08-02,23.44889431072144,28.705959433007887,30.61960809844919,7.0,19.1,22.2,19.8,7.0,21.0,15.492803030303035,2.0,31.0,0,18073.0
1995-08-03,26.90871746592508,31.446432132593518,26.30186344934201,22.0,20.672727272727272,23.4,21.7,7.0,21.0,11.861363636363635,3.0,31.0,0,18573.0
1995-08-04,27.080341863070622,37.029440882378104,30.263562444405068,14.0,20.7,27.8,21.9,7.0,21.0,14.508333333333335,4.0,31.0,1,19406.0
1995-08-08,24.27539648958634,28.875880811082467,26.55919971598403,15.0,19.5,24.0,17.5,7.0,21.0,26.570833333333336,1.0,32.0,2,18441.0
1995-08-09,22.923678357637158,28.89442934458951,26.044429344589513,17.0,19.1,24.8,16.1,7.0,21.0,25.937500000000004,2.0,32.0,0,18871.0
1995-08-10,23.77986654281753,34.10528604236343,26.80616083713284,17.0,18.7,27.0,20.7,7.0,21.0,13.6875,3.0,32.0,0,20014.0
1995-08-11,27.04434063811427,39.8016013579887,30.135845420349234,16.0,20.2,30.5,23.3,7.0,21.0,14.4625,4.0,32.0,0,20256.0
1995-08-14,25.079680109058227,38.468446924117096,27.57096151672166,14.0,19.0,27.8,23.5,7.0,21.0,18.15833333333333,0.0,33.0,0,20638.0
1995-08-15,25.613368333110017,40.57549864475791,32.65610111768107,12.0,19.9,31.9,23.9,7.0,21.0,24.149999999999995,1.0,33.0,0,21674.0
1995-08-16,24.527768671591325,32.44889431072144,34.169286019329945,14.0,19.1,28.1,17.7,7.0,21.0,26.15833333333333,2.0,33.0,0,20906.0
1995-08-17,25.505578944999836,33.87968010905822,27.568682490739693,13.0,19.5,27.8,18.9,7.0,21.0,23.675000000000008,3.0,33.0,0,20376.0
1995-08-18,27.787917239362386,35.858639003003844,31.318224369063312,14.0,21.1,30.0,19.9,7.0,21.0,16.841666666666665,4.0,33.0,0,20870.0
1995-08-21,16.018202280750874,33.46940099074554,32.42748309395796,15.0,14.6,29.7,16.9,7.0,21.0,30.45833333333334,0.0,34.0,0,20740.0
1995-08-22,15.31282307039232,24.824204284415732,25.53887211240664,16.0,13.8,22.3,12.9,7.0,21.0,28.22916666666667,1.0,34.0,0,17937.0
1995-08-23,11.506291193030364,31.043121089697085,20.265315776706977,15.0,10.5,27.5,17.7,7.0,21.0,29.35416666666667,2.0,34.0,0,18419.0
1995-08-24,15.908591626601341,27.175396489586333,26.28790751523519,0.0,14.3,22.5,18.5,7.0,21.0,30.016666666666666,3.0,34.0,0,17768.0
1995-08-25,7.935889386175373,20.986993701717765,19.75978718105849,13.0,8.0,20.2,10.7,7.0,21.0,29.8625,4.0,34.0,0,16941.0
1995-08-28,14.854082892645627,27.363139940404,23.662091606258898,14.0,12.8,23.7,15.3,7.0,21.0,29.22916666666667,0.0,35.0,0,18148.0
1995-08-29,18.341361032086393,31.027768671591325,22.493929443669764,13.0,15.6,26.5,17.3,7.0,20.0,24.1625,1.0,35.0,0,18947.0
1995-08-30,13.532518581737325,24.812145984405717,22.903604386740422,13.0,13.0,22.7,14.8,7.0,20.0,33.64166666666667,2.0,35.0,0,18345.0
1995-08-31,19.70338876273794,36.975499122629145,21.876730472211428,15.0,17.3,29.2,22.2,7.0,20.0,15.9625,3.0,35.0,0,19815.0
1995-09-01,13.978396781806564,25.270715866337362,28.43263138392391,12.0,12.7,22.8,14.2,7.0,20.0,30.4875,4.0,35.0,1,17682.0
1995-09-05,14.802906242482704,32.64916192237597,21.53055526947811,14.0,12.8,29.4,17.5,7.0,20.0,22.87916666666668,1.0,36.0,2,18152.0
1995-09-06,19.08363705733375,28.16975036613464,23.34777208618053,16.0,15.6,22.6,18.3,7.0,20.0,12.833333333333329,2.0,36.0,0,18165.0
1995-09-07,7.396927861599427,28.18791723936239,24.44203137956959,12.0,7.9,22.4,18.9,7.0,20.0,20.325000000000006,3.0,36.0,0,17678.0
1995-09-08,4.173131503346834,13.792228481977075,25.460922686778737,17.0,5.4,14.4,6.6,7.0,20.0,33.86666666666667,4.0,36.0,0,16140.0
1995-09-11,3.16320056635705,19.557763782095154,8.096389885016904,15.0,4.6,20.3,10.5,7.0,20.0,28.10416666666667,0.0,37.0,0,16398.0
1995-09-12,7.148995984268241,28.69855600632169,15.232971715717724,18.0,7.4,23.6,18.2,7.0,20.0,14.433333333333332,1.0,37.0,0,16859.0
1995-09-13,24.35749175097398,32.705578944999836,24.921022670028552,12.0,19.6,27.0,19.0,7.0,20.0,9.716666666666667,2.0,37.0,0,17754.0
